,title,contents,period,location,page_url
46,"장수 쿨밸리(cool valley,시원한 계곡)페스티벌",,2023.07.28 ~ 2023.08.06,전라북도 장수군 방화동로 778   방화동자연휴양림,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e943dc7c-44b6-4d95-bcb6-551104d10ed2
47,태백선선페스티벌,여름에 가장 시원한 도시 태백에서 펼쳐지는 대표 여름축제,2023.07.28 ~ 2023.08.06,강원특별자치도 태백시 황지연못길 12 황지연못(문화관광해설사의집)  태백 황지연못 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=76b2d6e5-8f1d-46cb-a0f9-aada5ef1b409
48,평창더위사냥축제,"더위잡는 사냥꾼을 위한 놀이터! 더위야 놀자, 無더워질 때까지",2023.07.28 ~ 2023.08.06,강원특별자치도 평창군 해뜰마을길 49-7   더위사냥축제장,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=67a2b058-c7c0-42bd-a018-8aedc8418bde
49,홍천찰옥수수축제,,2023.07.28 ~ 2023.07.30,강원특별자치도 홍천군 태학여내길 27   홍천종합운동장 주차장일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1b22f1fa-d3e1-42c1-837a-c8c4e359eef4
50,가족사랑 아이스축제,"대구서구 이현공원에서 얼음을 주제로 온 가족이 함께 체험하고, 즐길 수 있는 축제",2023.07.29 ~ 2023.07.29,"대구광역시 서구 이현동 48-16 , 서구 이현공원 어린이 물놀이장",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=36b3cec2-89d3-45be-b0f9-67f45dc869f5
51,송도해변축제,,2023.07.29 ~ 2023.08.06,인천광역시 연수구 송도동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=052c3b39-16d6-42be-9893-b204f7d32303
52,숲속 퍼펫 파크축제,뜨거운 여름. 온 가족이 다 함께 떠나자! 숲속 퍼펫 파크 축제로!,2023.07.29 ~ 2023.07.29,경기도 수원시 권선구 서둔로 166   경기상상캠퍼스 공간 1986,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=2ae9a3a5-1290-4fa0-b4bc-564af42ddf28
53,안동 문화재야행<월영야행>,"안동의 여름밤을 반짝이는 문화재야행, 월영야행!",2023.07.29 ~ 2023.08.06,경북 안동시 상아동 569 월영교 일대,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0f8ab017-197a-40c2-b9cc-622bdef0ad4b
54,언더시티프로젝트x힛 업 더 스트릿,뜨겁고 짜릿한 스트릿 페스티벌 ! ,2023.07.29 ~ 2023.07.29,"인천광역시 부평구 시장로20번길 15   부평로 시장로, 평리단길 일대",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0dab9eda-8aa1-414f-a92c-e0637a9a8d13
55,정남진 장흥 물축제,"물의 도시, 장흥을 상징하는 대한민국 대표 여름축제, 물과숲 - 休 ",2023.07.29 ~ 2023.08.06,전라남도 장흥군 장흥읍 건산리 탐진강 및 편백숲우드랜드 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9df157f4-4547-4672-92b6-56f92e9e06e0
